ИД;Название организации
481;"ОАО ""Кооппром"""
483;ОбьГазПроцессинг
484;Обьэнергосбережение
485;ОГК-2
486;ОГК-6
488;ОМКАР
489;Омская КРК
490;Омская ТЕЦ 3
491;Омская ТЭЦ 4
492;Омская ТЭЦ 5
493;омский арматурно фланцевый завод
494;Омскнефтехимпроект
495;Омсктехуглерод
496;Кордиант
499;Бургаз
501;Асупроектинжиниринг
503;оргэнергогаз
504;Оренбургские теплосети
505;Орская ТЭЦ
506;Орскнефтеоргсинтез
508;Отрадненский ГПЗ
509;ОТЭКО
510;Очаково
511;Пензтяжпромарматура
512;Пермнефтеоргсинтез
513;ПЕТРОMARC
514;Петровское
515;Печоранефть
516;Печорнипинефть
517;Пивоваренный завод Астеройд-Трейд
518;ПИК
519;ПИЦ Урал ТЭП
520;"ПКБ ""Юг Руси"""
521;ПКБ АСУ-нефть
522;Покачевнефтегаз
523;Полиэф
524;Порт Ейск
525;Порт-Петровск
526;Поршень
527;Премиум
529;Приводы Аума
530;Приволжводпроект
531;Приволжскнефтепровод
532;ПРИЗ
533;Проект
534;Проектдизайн
535;ПроектНефтегаз
536;Проектстройдизайн
537;ПроКом НГК
538;ПРОМАВТОМАТИКА НПО
539;Промприбор
540;Промтехкомплект
541;Промышленная Арматура
542;ПТК Энергомаш
543;Пурагроук
544;Пургаз
545;Пурнефтегаз
546;НОВАТЭК-Пуровский ЗПК
547;ПЭК
548;Радиобокс
551;Ризур
552;Ритек Когалым
553;Ритза
554;РИТЭК
555;РИТЭК Ханты-Мансийскнефть
556;РИТЭКНадымнефть
557;РИТЭКнефть
558;РМП-1 Южтехмонтаж
559;РН-Автоматика
560;РНПК
561;РН-Северная нефть
563;Рокадовские Минеральные Воды
565;РосАр
567;Роснефть
570;Роснефть НТЦ
571;Роснефть-Ставрополье
572;Роспан Интернешнл
573;Ростехпром
575;Ростовская ТЭЦ
576;Ростовский литейный завод
578;Ростовтеплоэлектропроект
579;Ростов-Терминал
580;РостовЭнергоСпецРемонт
581;Роторк
582;РТЭП Южтехмонтаж
583;РусГазИнжиниринг
584;РусГазПроект
587;РуссНефть
588;РЦ МТО Нижневартовск
589;РЦМТО
590;Сакмарская ТЭЦ
591;СГНХП
593;Салаватнефтеоргсинтез
595;Салым Петролеум Девелопмент
597;Самара-Нафта
598;Самаранефтегаз
599;Самаранефтехимпроект
600;Самаратрансгаз
601;Самотлорнефтегаз
602;Самсон Контролс
603;Самсон-Контролс
604;Склад в Новочеркасске (Самсон-Юг)
605;САН Интербрю
606;Саратовгазавтоматика
607;Саратовгазприборавтоматика
608;Саратовнефтегаз
609;Саратовнефтепродукт
